編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSNMLKLQHPFFAX77DA,烏崁新段,52.66,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPOPMLRKQHPFFAX18DA,西澳段,34.32,都市：住,持分移轉
RPSPMLRKQHPFFAX58DA,西澳段,23.92,都市：住,持分移轉
RPXOMLRKQHPFFAX98DA,西澳段,34.06,都市：住,持分移轉
RPUPMLRKQHPFFAX78DA,西澳段,23.92,都市：住,持分移轉
RPTNMLRKQHPFFAX48DA,文澳段,19.48,都市：商,持分移轉
RPQPMLRKQHPFFAX38DA,西澳段,20.80,都市：住,持分移轉
RPRPMLRKQHPFFAX48DA,西澳段,6.50,都市：住,持分移轉
RPVPMLRKQHPFFAX88DA,西澳段,34.32,都市：住,持分移轉
RPPNMLOLQHPFFAX87DA,中衛段,25.58,都市：農,全筆移轉
RPTPMLRKQHPFFAX68DA,西澳段,34.32,都市：住,持分移轉
RPPPMLRKQHPFFAX28DA,西澳段,23.92,都市：住,持分移轉
RPPNMLRLPHPFFAX08DA,海堤段,121.48,都市：其他,全筆移轉
RPTNMLKLQHPFFAX87DA,南澳段,301.62,都市：商,持分移轉
RPTNMLKLQHPFFAX87DA,南澳段,122.38,都市：商,持分移轉
RPXNMLTKQHPFFAX09DA,赤崁北段,546.27,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPSNMLLLQHPFFAX97EA,沙港北段,27.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPWPMLRKQHPFFAX98DA,西澳段,23.92,都市：住,持分移轉
RPUNMLMKQHPFFAX08DA,海堤段,11.34,都市：其他,持分移轉
RPUOMLRKQHPFFAX68DA,海堤段,11.34,都市：其他,持分移轉
RPUNMLKLQHPFFAX97DA,南澳段,301.62,都市：商,持分移轉
RPUNMLKLQHPFFAX97DA,南澳段,122.38,都市：商,持分移轉
RPUNMLOLQHPFFAX38DA,烏崁新段,190.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPRNMLKLQHPFFAX67DA,文寮段,563.89,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPRNMLPLQHPFFAX18DA,瓦硐南段,1102.17,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPOOMLQLQHPFFAX08DA,赤崁西段,91.89,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPPNMLPLQHPFFAX97DA,紅羅段,493.37,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPPNMLQLQHPFFAX08DA,許家段,168.24,非都市：一般農業區 ; 非都市編定：甲種建築用地,持分移轉
RPPNMLQLQHPFFAX08DA,許家段,168.24,非都市：一般農業區 ; 非都市編定：甲種建築用地,持分移轉
RPVNMLTKQHPFFAX88DA,二崁北段,2207.45,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPSNMLRLQHPFFAX58EA,龍門南段,359.72,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPQNMLRLQHPFFAX28DA,六合段,88.11,非都市：一般農業區 ; 非都市編定：交通用地,持分移轉
RPUNMLRLQHPFFAX68DA,烏崁新段,259.41,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPUNMLRLQHPFFAX68DA,烏崁新段,229.48,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPUNMLRLQHPFFAX68DA,烏崁新段,199.55,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPUNMLQLQHPFFAX58DA,埕西段,80.66,都市：住,全筆移轉
RPSNMLPLQHPFFAX28DA,鐵線段,197.29,非都市：一般農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPPOMLQLQHPFFAX18DA,後寮東段,392.49,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPPOMLQLQHPFFAX18DA,後寮東段,45.10,非都市：一般農業區 ; 非都市編定：交通用地,全筆移轉
RPQNMLPLQHPFFAX08DA,埕東段,108.53,都市：住,全筆移轉
RPUNMLTKQHPFFAX78DA,馬公段,34.24,都市：住,持分移轉
RPUNMLTKQHPFFAX78DA,馬公段,3.50,都市：住,持分移轉
RPQNMLNLQHPFFAX87DA,五福段,.09,非都市：一般農業區 ; 非都市編定：交通用地,持分移轉
RPQNMLNLQHPFFAX87DA,五福段,57.55,非都市：一般農業區 ; 非都市編定：交通用地,持分移轉
RPQNMLNLQHPFFAX87DA,五福段,155.23,非都市：一般農業區 ; 非都市編定：甲種建築用地,全筆移轉
